key,cycle,card_id,name,status,reason,resources,ocr_full,ocr_body,ocr_footer
c1:6400,c1,6400,Dog Days,manual,conditional effect,,坏日子 / Doc Days / 每有3 全，失去-1汉， / 如果没有失去兴， / RS +1 & / GIB Gain +2&. / 移出卡组直到下一次定时战斗 8 / Remove until the next / AB0075            Timeline Battle.,"S38, KEIM, / 然后失去-3 全 。 / 如果没有失去 ， / 获得+1例。 / GIB Gain +28.",移出上组直到下一次定时战半 8 / Remove until the next / AB0075                Timeline Battle.
c1:6401,c1,6401,Minoan Fleet,base-auto,gain fixed resources; optional/alternate effect; extra conditional gain; loss or non-resource side effect; choice/random/target needed,trireme resource,米诺斯人舰队 / MINOAN FLEET / ARE EMSA eT A BS be /  Gain +1 €. /  Gain 4 Trireme resources. /  Each Argonaut gains +1 A. /  Gain +1 Y’. / { Denounced) ) Lose -1 Titan. /  Lose -1€. / CID 随机一名阿尔戈英雄 / 获得1枚绝望指示物。 / 29) Bill RAH BF —REAES 4 / Remove until the next / AB0076           Timeline Battle.,根据你们与米诡斯人的外交 /  Gain +1 €&. / t Friendly ) Gain 4 Trireme resources. /  Each Argonaut gains +1 人 /  Gain +1 9’. /  Lose -1 Titan. /  Lose -1 &. / [pal i a 2   7 a a ee eee ee 2,29) 移出卡组直到下一次定时战半 @ / Remove until the next / AB0076               Timeline Battle.
c1:6402,c1,6402,Hornsworn Fleet,manual,choice/random/target needed; external card/story effect,,角碑者舰队 / HORNSWORN FLEET / ARES SSN be / 关系结算一项效果。 / Allied) ) Gain +1 %. / ‘ Friendly ) Chosen Argonaut gains 1 / Mnemos node. / ‘Neutral ) ) Chosen Argonaut gains +1 A. / {Denounced cn :2 / CR Lose -1X. / OG 随机一名阿尔戈英雄 / 获得1枚绝望指示物。 / 办 移出 eanarr vans / Remove until the next / AB0077              Timeline Battle.,根据你们与角壮者的外区 /  Gain +1. / ‘ Friendly Chosen Argonaut gains 1 / Mnemos node. / ‘ Neutral } ) Chosen Argonaut gains +1 b /  Gain +1 'W7 / ‘ Denounced} ) Gain +2 4%. /  Lose -1 XX.,办sraaa eee / Remove until the next / AB0077                 Timeline Battle.
c1:6403,c1,6403,Labyrinthian Vessel,base-auto,gain fixed resources; optional/alternate effect; extra conditional gain; choice/random/target needed,"calcifiedKnuckle resource, fleshyMantle resource","迷宙徒轮船 / LABYRINTHIAN / VESSEL / 根据你们与迷宫徒的外交 / 关系结算一项效果。 / (Allied) Gain +1 and +1. / Qari"" Gain 1 Calcified / Knuckle Bone or Fleshy Mantle / resource and +1 &. / { Neutral ] ) Each Argonaut gains +1. / \ Unfriendly Zerg a) / { Denounced} ) At the start of the next / Timeline Battle, Escalate 1. / REED Cain +1 A. / CID 随机一名阿尔戈关雄 / 获得1枚绝望指示物。 / 31) 移出卡组直到下一次定时战斗 / Remove until the next / AB0078             Timeline Battle.","ARH VR |S Ss EBS IP AR / 关系结算一项效果。 / Allied ) Gain +1 % and +14. / ET Gain 1 Calcified / Knuckle Bone or Fleshy Mantle / resource and +1 全 / (人YY Each Argonaut gains +1. / CULE) Gain +1 YW’. / ‘Denounced ) At the start of the next / Timeline Battle, Escalate 1. / wei  ..",» DAIS ATA HO SEI IS TY / 31) 移出卡组直到下一次定肝战半 / Remove until the next / AB0078              Timeline Battle.
c1:6404,c1,6404,Trade Post,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,trireme resource,贸易站 / TRADE POST / Gain 1 Trireme resource. / GIST Gain 2 Trireme / resources instead. / ABO079,Gain 1 Trireme resource. / Gietiva» Gain 2 Trireme / resources instead.,AB0079
c1:6405,c1,6405,Trade Post,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,trireme resource,贸易站 / TRADE POST / Gain 1 Trireme resource. /  Gain 2 Trireme / resources instead. / ABO080,"Gain 1 Trireme resource, - / GIST Gain 2 Trireme / resources instead.",AB0080
c1:6406,c1,6406,Fishing Pier,base-auto,gain fixed resources; choice/random/target needed,trireme resource,渔码头 / FISHING PIER / Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A. / AB0081,Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A.,AB0081
c1:6407,c1,6407,Trireme Wreck,base-auto,gain fixed resources; choice/random/target needed,trireme resource,战船残骸 / TRIREME WRECK / Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A. / ， 9) a / ABO0082          |,Gain 2 Trireme resources. / (Etats ® Chosen / Argonaut gains +1 A.,AB0082
c1:6408,c1,6408,Trireme Wreck,base-auto,gain fixed resources; choice/random/target needed,trireme resource,AKAGI BX / TRIREME WRECK / Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A. / AB0083,Gain 2 Trireme resources. / ‘Denounced- Chosen / Argonaut gains +1 A.,AB0083
c1:6409,c1,6409,Smithy,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,armament resource,铁斤铺 / SMITHY / Gain 1 Armament / resource. / GET Gain 2 / Armament resources / instead. / AB0084,Gain 1 Armament / resource. / Gitta Gain 2 / Armament resources / instead.,AB0084
