key,cycle,card_id,name,image_path,automation_bucket,base_effect_type,base_amount,base_target,base_resource_key,base_resource_name,base_raw_text,conditional_effects,requires_choice,choice_prompt,requires_state_check,state_key,timing,can_apply_automatically,confidence,needs_icon_review,notes,ocr_full
c1:6400,c1,6400,Dog Days,D:\download\ato2\ATO\assets\exploration-cards\c1\6400.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,坏日子 / Doc Days / 每有3 全，失去-1汉， / 如果没有失去兴， / RS +1 & / GIB Gain +2&. / 移出卡组直到下一次定时战斗 8 / Remove until the next / AB0075            Timeline Battle.
c1:6401,c1,6401,Minoan Fleet,D:\download\ato2\ATO\assets\exploration-cards\c1\6401.png,base-auto,gain_resource,4,argo_resources,,Trireme,Gain 4 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,米诺斯人舰队 / MINOAN FLEET / ARE EMSA eT A BS be /  Gain +1 €. /  Gain 4 Trireme resources. /  Each Argonaut gains +1 A. /  Gain +1 Y’. / { Denounced) ) Lose -1 Titan. /  Lose -1€. / CID 随机一名阿尔戈英雄 / 获得1枚绝望指示物。 / 29) Bill RAH BF —REAES 4 / Remove until the next / AB0076           Timeline Battle.
c1:6402,c1,6402,Hornsworn Fleet,D:\download\ato2\ATO\assets\exploration-cards\c1\6402.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,角碑者舰队 / HORNSWORN FLEET / ARES SSN be / 关系结算一项效果。 / Allied) ) Gain +1 %. / ‘ Friendly ) Chosen Argonaut gains 1 / Mnemos node. / ‘Neutral ) ) Chosen Argonaut gains +1 A. / {Denounced cn :2 / CR Lose -1X. / OG 随机一名阿尔戈英雄 / 获得1枚绝望指示物。 / 办 移出 eanarr vans / Remove until the next / AB0077              Timeline Battle.
c1:6403,c1,6403,Labyrinthian Vessel,D:\download\ato2\ATO\assets\exploration-cards\c1\6403.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,"迷宙徒轮船 / LABYRINTHIAN / VESSEL / 根据你们与迷宫徒的外交 / 关系结算一项效果。 / (Allied) Gain +1 and +1. / Qari"" Gain 1 Calcified / Knuckle Bone or Fleshy Mantle / resource and +1 &. / { Neutral ] ) Each Argonaut gains +1. / \ Unfriendly Zerg a) / { Denounced} ) At the start of the next / Timeline Battle, Escalate 1. / REED Cain +1 A. / CID 随机一名阿尔戈关雄 / 获得1枚绝望指示物。 / 31) 移出卡组直到下一次定时战斗 / Remove until the next / AB0078             Timeline Battle."
c1:6404,c1,6404,Trade Post,D:\download\ato2\ATO\assets\exploration-cards\c1\6404.png,base-auto,gain_resource,1,argo_resources,,Trireme,Gain 1 Trireme resource,,no,,yes,,on_settle,yes,medium,yes,,贸易站 / TRADE POST / Gain 1 Trireme resource. / GIST Gain 2 Trireme / resources instead. / ABO079
c1:6405,c1,6405,Trade Post,D:\download\ato2\ATO\assets\exploration-cards\c1\6405.png,base-auto,gain_resource,1,argo_resources,,Trireme,Gain 1 Trireme resource,,no,,yes,,on_settle,yes,medium,yes,,贸易站 / TRADE POST / Gain 1 Trireme resource. /  Gain 2 Trireme / resources instead. / ABO080
c1:6406,c1,6406,Fishing Pier,D:\download\ato2\ATO\assets\exploration-cards\c1\6406.png,base-auto,gain_resource,2,argo_resources,,Trireme,Gain 2 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,渔码头 / FISHING PIER / Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A. / AB0081
c1:6407,c1,6407,Trireme Wreck,D:\download\ato2\ATO\assets\exploration-cards\c1\6407.png,base-auto,gain_resource,2,argo_resources,,Trireme,Gain 2 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,战船残骸 / TRIREME WRECK / Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A. / ， 9) a / ABO0082          |
c1:6408,c1,6408,Trireme Wreck,D:\download\ato2\ATO\assets\exploration-cards\c1\6408.png,base-auto,gain_resource,2,argo_resources,,Trireme,Gain 2 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,AKAGI BX / TRIREME WRECK / Gain 2 Trireme resources. /  Chosen / Argonaut gains +1 A. / AB0083
c1:6409,c1,6409,Smithy,D:\download\ato2\ATO\assets\exploration-cards\c1\6409.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,铁斤铺 / SMITHY / Gain 1 Armament / resource. / GET Gain 2 / Armament resources / instead. / AB0084
c1:6410,c1,6410,Smithy,D:\download\ato2\ATO\assets\exploration-cards\c1\6410.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,=       = / $k LL $8 / SMITHY / Gain 1 Armament / resource. / GENT Gain 2 / Armament resources / instead. . / ° : (ee / AB0085            炒
c1:6411,c1,6411,Weapons Cache,D:\download\ato2\ATO\assets\exploration-cards\c1\6411.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,BE SS / 车南库 / WEAPONS CACHE / Gain 2 Armament / resources. / { Denounced-eziiam / Armament resource / instead. . / ¥; eR zi  人 / AB0086
c1:6412,c1,6412,Abandoned Shrine,D:\download\ato2\ATO\assets\exploration-cards\c1\6412.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,废弃神盒 / _ ABANDONED / SHRINE / Gain 1 Monument / resource. / GED Gain 2 / Monument resources / instead. / AB0087
c1:6413,c1,6413,Abandoned Shrine,D:\download\ato2\ATO\assets\exploration-cards\c1\6413.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,RFS / ABANDONED / SHRINE / Gain 1 Monument / resource. /  Gain 2 / Monument resources / instead. / ABO088
c1:6414,c1,6414,Temple Ruins,D:\download\ato2\ATO\assets\exploration-cards\c1\6414.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,Xx    WL  = / 48H FEY a Se / TEMPLE RUINS / Gain 2 Monument / resources. / (YY Chosen / Argonaut gains +1 . / =  : @) pe / AB0089             7
c1:6415,c1,6415,Temple Ruins,D:\download\ato2\ATO\assets\exploration-cards\c1\6415.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,神殿废墟 / TEMPLE RUINS / Gain 2 Monument / resources. / ite» Chosen / Argonaut gains +1 W. / ABO090          ae
c1:6416,c1,6416,Titan,D:\download\ato2\ATO\assets\exploration-cards\c1\6416.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,泰坦 / TITAN / Gain +1 Titan. / :    (Friendly      ‘= Chosen / Argonaut gains +1). / ABO091
c1:6417,c1,6417,Abandoned Fleet,D:\download\ato2\ATO\assets\exploration-cards\c1\6417.png,base-auto,gain_resource,3,argo_resources,,Trireme,Gain 3 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,废弃舰队 / ABANDONED FLEET / Gain 3 Trireme resources. / CT Gain +1'V / AB0092                             |
