cycle,tile_id,label,right_faction,front_faction,front_confidence,front_margin,back_faction,back_confidence,back_margin,front_back_agree,needs_review,template_source,preview_path,note
c1,001,001,hornsworn,hornsworn,0.896,0.340,hornsworn,0.822,0.356,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-001.png,
c1,002,002,hornsworn,hornsworn,1.000,0.463,hornsworn,1.000,0.547,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-002.png,
c1,003,003,hornsworn,hornsworn,1.000,0.470,hornsworn,1.000,0.478,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-003.png,
c1,004,004,hornsworn,hornsworn,1.000,0.474,hornsworn,1.000,0.537,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-004.png,
c1,005,005,hornsworn,hornsworn,1.000,0.492,hornsworn,1.000,0.552,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-005.png,
c1,041,041,hornsworn,hornsworn,0.635,0.109,hornsworn,0.848,0.377,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-041.png,
c1,042,042,,minoians,0.495,0.006,hornsworn,0.793,0.281,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-042.png,
c1,043,043,hornsworn,hornsworn,0.695,0.170,hornsworn,0.869,0.412,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-043.png,
c1,044,044,hornsworn,hornsworn,1.000,0.487,hornsworn,1.000,0.544,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-044.png,
c1,045,045,hornsworn,hornsworn,0.662,0.144,hornsworn,0.856,0.422,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-045.png,
c1,006,006,hornsworn,hornsworn,1.000,0.492,hornsworn,1.000,0.531,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-006.png,
c1,007,007,hornsworn,hornsworn,1.000,0.497,hornsworn,1.000,0.548,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-007.png,
c1,008,008,minoians,minoians,0.898,0.347,minoians,0.570,0.115,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-008.png,
c1,T05,T05,,minoians,0.552,0.056,minoians,0.846,0.402,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T05.png,
c1,009,009,,hornsworn,0.637,0.107,labyrinthians,0.476,0.006,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-009.png,
c1,010,010,,hornsworn,0.612,0.137,labyrinthians,0.569,0.051,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-010.png,
c1,046,046,hornsworn,hornsworn,0.802,0.301,hornsworn,0.843,0.397,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-046.png,
c1,047,047,hornsworn,hornsworn,0.898,0.385,hornsworn,0.750,0.265,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-047.png,
c1,048,048,minoians,minoians,1.000,0.498,minoians,1.000,0.558,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-048.png,
c1,049,049,minoians,minoians,1.000,0.451,minoians,1.000,0.524,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-049.png,
c1,050,050,hornsworn,hornsworn,0.620,0.127,hornsworn,0.849,0.380,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-050.png,
c1,011,011,hornsworn,hornsworn,0.915,0.407,hornsworn,0.784,0.343,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-011.png,
c1,012,012,minoians,minoians,1.000,0.430,minoians,1.000,0.568,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-012.png,
c1,013,013,minoians,minoians,1.000,0.417,minoians,1.000,0.544,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-013.png,
c1,014,014,minoians,minoians,0.710,0.150,minoians,0.868,0.441,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-014.png,
c1,015,015,,hornsworn,0.533,0.013,hornsworn,0.467,0.017,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-015.png,
c1,051,051,,labyrinthians,0.490,0.005,labyrinthians,0.525,0.037,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-051.png,
c1,052,052,minoians,minoians,1.000,0.454,minoians,1.000,0.551,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-052.png,
c1,053,053,,hornsworn,0.579,0.001,hornsworn,0.469,0.024,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-053.png,
c1,054,054,minoians,minoians,0.867,0.296,minoians,0.881,0.415,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-054.png,
c1,055,055,hornsworn,hornsworn,0.753,0.261,hornsworn,0.809,0.354,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-055.png,
c1,016,016,,minoians,0.547,0.067,minoians,0.842,0.364,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-016.png,
c1,017,017,,minoians,0.561,0.034,minoians,0.699,0.176,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-017.png,
c1,018,018,minoians,minoians,0.942,0.370,minoians,0.796,0.309,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-018.png,
c1,019,019,,hornsworn,0.539,0.077,hornsworn,0.468,0.042,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-019.png,
c1,020,020,,hornsworn,0.516,0.041,hornsworn,0.464,0.040,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-020.png,
