cycle,tile_id,label,crop_path,right_faction,left_icon_type,left_faction_if_any,notes
c1,001,001,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-001.png,,,,
c1,002,002,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-002.png,,,,
c1,003,003,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-003.png,,,,
c1,004,004,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-004.png,,,,
c1,005,005,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-005.png,,,,
c1,041,041,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-041.png,,,,
c1,042,042,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-042.png,,,,
c1,043,043,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-043.png,,,,
c1,044,044,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-044.png,,,,
c1,045,045,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-045.png,,,,
c1,006,006,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-006.png,,,,
c1,007,007,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-007.png,,,,
c1,008,008,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-008.png,,,,
c1,T05,T05,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T05.png,,,,
c1,009,009,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-009.png,,,,
c1,010,010,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-010.png,,,,
c1,046,046,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-046.png,,,,
c1,047,047,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-047.png,,,,
c1,048,048,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-048.png,,,,
c1,049,049,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-049.png,,,,
c1,050,050,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-050.png,,,,
c1,011,011,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-011.png,,,,
c1,012,012,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-012.png,,,,
c1,013,013,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-013.png,,,,
c1,014,014,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-014.png,,,,
c1,015,015,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-015.png,,,,
c1,051,051,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-051.png,,,,
c1,052,052,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-052.png,,,,
c1,053,053,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-053.png,,,,
c1,054,054,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-054.png,,,,
c1,055,055,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-055.png,,,,
c1,016,016,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-016.png,,,,
c1,017,017,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-017.png,,,,
c1,018,018,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-018.png,,,,
c1,019,019,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-019.png,,,,
c1,020,020,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-020.png,,,,
c1,056,056,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-056.png,,,,
c1,057,057,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-057.png,,,,
c1,058,058,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-058.png,,,,
c1,059,059,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-059.png,,,,
c1,060,060,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-060.png,,,,
c1,T00,T00,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T00.png,,,,
c1,T06,T06,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T06.png,,,,
c1,T01,T01,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T01.png,,,,
c1,T02,T02,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T02.png,,,,
c1,021,021,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-021.png,,,,
c1,T03,T03,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T03.png,,,,
c1,022,022,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-022.png,,,,
c1,T04,T04,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-T04.png,,,,
c1,023,023,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-023.png,,,,
c1,024,024,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-024.png,,,,
c1,025,025,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-025.png,,,,
c1,061,061,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-061.png,,,,
c1,062,062,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-062.png,,,,
c1,063,063,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-063.png,,,,
c1,064,064,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-064.png,,,,
c1,065,065,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-065.png,,,,
c1,026,026,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-026.png,,,,
c1,027,027,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-027.png,,,,
c1,028,028,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-028.png,,,,
c1,029,029,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-029.png,,,,
c1,030,030,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-030.png,,,,
c1,066,066,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-066.png,,,,
c1,067,067,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-067.png,,,,
c1,068,068,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-068.png,,,,
c1,069,069,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-069.png,,,,
c1,070,070,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-070.png,,,,
c1,031,031,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-031.png,,,,
c1,032,032,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-032.png,,,,
c1,033,033,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-033.png,,,,
c1,034,034,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-034.png,,,,
c1,035,035,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-035.png,,,,
c1,071,071,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-071.png,,,,
c1,072,072,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-072.png,,,,
c1,073,073,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-073.png,,,,
c1,074,074,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-074.png,,,,
c1,075,075,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-075.png,,,,
c1,036,036,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-036.png,,,,
c1,037,037,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-037.png,,,,
c1,038,038,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-038.png,,,,
c1,039,039,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-039.png,,,,
c1,040,040,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-040.png,,,,
c1,076,076,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-076.png,,,,
c1,077,077,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-077.png,,,,
c1,078,078,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-078.png,,,,
c1,079,079,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-079.png,,,,
c1,080,080,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c1-080.png,,,,
c2,001,001,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-001.png,,,,
c2,002,002,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-002.png,,,,
c2,003,003,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-003.png,,,,
c2,004,004,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-004.png,,,,
c2,005,005,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-005.png,,,,
c2,006,006,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-006.png,,,,
c2,007,007,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-007.png,,,,
c2,008,008,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-008.png,,,,
c2,009,009,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-009.png,,,,
c2,010,010,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-010.png,,,,
c2,011,011,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-011.png,,,,
c2,012,012,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-012.png,,,,
c2,013,013,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-013.png,,,,
c2,014,014,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-014.png,,,,
c2,015,015,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-015.png,,,,
c2,016,016,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-016.png,,,,
c2,017,017,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-017.png,,,,
c2,018,018,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-018.png,,,,
c2,019,019,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-019.png,,,,
c2,020,020,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-020.png,,,,
c2,021,021,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-021.png,,,,
c2,022,022,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-022.png,,,,
c2,023,023,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-023.png,,,,
c2,024,024,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-024.png,,,,
c2,025,025,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-025.png,,,,
c2,026,026,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-026.png,,,,
c2,027,027,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-027.png,,,,
c2,028,028,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-028.png,,,,
c2,029,029,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-029.png,,,,
c2,030,030,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-030.png,,,,
c2,031,031,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-031.png,,,,
c2,032,032,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-032.png,,,,
c2,033,033,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-033.png,,,,
c2,034,034,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-034.png,,,,
c2,035,035,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-035.png,,,,
c2,036,036,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-036.png,,,,
c2,037,037,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-037.png,,,,
c2,038,038,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-038.png,,,,
c2,039,039,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-039.png,,,,
c2,040,040,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-040.png,,,,
c2,041,041,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-041.png,,,,
c2,042,042,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-042.png,,,,
c2,043,043,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-043.png,,,,
c2,044,044,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-044.png,,,,
c2,045,045,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-045.png,,,,
c2,046,046,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-046.png,,,,
c2,047,047,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-047.png,,,,
c2,048,048,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-048.png,,,,
c2,049,049,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-049.png,,,,
c2,050,050,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-050.png,,,,
c2,051,051,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-051.png,,,,
c2,052,052,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-052.png,,,,
c2,053,053,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-053.png,,,,
c2,054,054,D:\download\ato2\ATO\tools\map-faction-tag-template\crops\c2-054.png,,,,
