cycle,tile_id,label,front,factions,faction_labels_zh,faction_labels_en,marker_count,confidence,right_inner_faction,right_inner_faction_zh,right_inner_faction_en,right_inner_score,right_inner_second,right_inner_second_score,right_inner_ink_ratio,right_inner_box_score,right_inner_confidence,right_inner_duplicate_suppressed,right_outer_faction,right_outer_faction_zh,right_outer_faction_en,right_outer_score,right_outer_second,right_outer_second_score,right_outer_ink_ratio,right_outer_box_score,right_outer_confidence,right_outer_duplicate_suppressed
c1,001,001,D:\download\ato2\ATO\map\images\c1-tile-001-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.5855,minoians,0.6294,0.826,0.0,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3535,minoians,0.3764,0.3479,0.4645,medium,False
c1,002,002,D:\download\ato2\ATO\map\images\c1-tile-002-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.6259,minoians,0.6894,0.8845,0.0,none,False,labyrinthians,迷宫徒,Labyrinthians,0.364,hornsworn,0.3846,0.3833,0.4633,medium,False
c1,003,003,D:\download\ato2\ATO\map\images\c1-tile-003-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.5934,minoians,0.6438,0.8834,0.0115,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3617,hornsworn,0.3847,0.4019,0.4512,medium,False
c1,004,004,D:\download\ato2\ATO\map\images\c1-tile-004-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.5951,minoians,0.6424,0.7772,0.0034,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3724,minoians,0.3966,0.3885,0.4671,medium,False
c1,005,005,D:\download\ato2\ATO\map\images\c1-tile-005-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.522,labyrinthians,0.5377,0.5726,0.0,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3106,hornsworn,0.3305,0.3229,0.4731,low,False
c1,041,041,D:\download\ato2\ATO\map\images\c1-tile-041-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6144,minoians,0.6656,0.8663,0.0212,none,False,minoians,米诺斯人,Minoans,0.4497,labyrinthians,0.463,0.4436,0.4656,low,False
c1,042,042,D:\download\ato2\ATO\map\images\c1-tile-042-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6014,minoians,0.6647,0.9045,0.0394,none,False,minoians,米诺斯人,Minoans,0.4904,labyrinthians,0.5161,0.4885,0.4241,low,False
c1,043,043,D:\download\ato2\ATO\map\images\c1-tile-043-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6321,minoians,0.6976,0.9365,0.0185,none,False,minoians,米诺斯人,Minoans,0.4603,hornsworn,0.4687,0.4582,0.462,low,False
c1,044,044,D:\download\ato2\ATO\map\images\c1-tile-044-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.6085,minoians,0.6713,0.8726,0.0199,none,False,labyrinthians,迷宫徒,Labyrinthians,0.377,minoians,0.4002,0.3914,0.4789,medium,False
c1,045,045,D:\download\ato2\ATO\map\images\c1-tile-045-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6032,minoians,0.665,0.9509,0.0295,none,False,minoians,米诺斯人,Minoans,0.4666,hornsworn,0.4812,0.4627,0.4662,low,False
c1,006,006,D:\download\ato2\ATO\map\images\c1-tile-006-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.5701,minoians,0.6306,0.7969,0.0053,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3467,hornsworn,0.3615,0.3555,0.4812,low,False
c1,007,007,D:\download\ato2\ATO\map\images\c1-tile-007-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6273,minoians,0.6954,0.942,0.0043,none,False,hornsworn,角誓者,Hornsworn,0.2998,labyrinthians,0.3143,0.3614,0.4631,low,False
c1,008,008,D:\download\ato2\ATO\map\images\c1-tile-008-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6048,minoians,0.666,0.8325,0.0223,none,False,minoians,米诺斯人,Minoans,0.305,labyrinthians,0.3716,0.3239,0.5376,medium,False
c1,T05,T05,D:\download\ato2\ATO\map\images\c1-tile-T05-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6013,minoians,0.6509,0.8663,0.0105,none,False,minoians,米诺斯人,Minoans,0.344,labyrinthians,0.4027,0.3495,0.529,medium,False
c1,009,009,D:\download\ato2\ATO\map\images\c1-tile-009-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.6324,minoians,0.7002,0.9381,0.001,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3651,minoians,0.3688,0.3132,0.5422,low,False
c1,010,010,D:\download\ato2\ATO\map\images\c1-tile-010-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.6353,minoians,0.7021,0.9457,0.0004,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3612,minoians,0.3765,0.3121,0.5417,low,False
c1,046,046,D:\download\ato2\ATO\map\images\c1-tile-046-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.5514,labyrinthians,0.5518,0.5759,0.0161,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4139,minoians,0.425,0.4003,0.4734,low,False
c1,047,047,D:\download\ato2\ATO\map\images\c1-tile-047-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.6264,minoians,0.6908,0.8983,0.01,none,False,labyrinthians,迷宫徒,Labyrinthians,0.382,hornsworn,0.4011,0.3979,0.4767,low,False
c1,048,048,D:\download\ato2\ATO\map\images\c1-tile-048-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.59,minoians,0.6598,0.8731,0.0275,none,False,minoians,米诺斯人,Minoans,0.4147,labyrinthians,0.4405,0.3821,0.5317,low,False
c1,049,049,D:\download\ato2\ATO\map\images\c1-tile-049-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.5904,minoians,0.6477,0.8217,0.0189,none,False,minoians,米诺斯人,Minoans,0.3455,labyrinthians,0.4071,0.3388,0.5437,medium,False
c1,050,050,D:\download\ato2\ATO\map\images\c1-tile-050-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6266,minoians,0.6957,0.9853,0.0272,none,False,minoians,米诺斯人,Minoans,0.4676,hornsworn,0.4834,0.4599,0.4534,low,False
c1,011,011,D:\download\ato2\ATO\map\images\c1-tile-011-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.6137,minoians,0.6674,0.8512,0.008,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3763,minoians,0.3974,0.366,0.4791,medium,False
c1,012,012,D:\download\ato2\ATO\map\images\c1-tile-012-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.6273,minoians,0.6933,0.917,0.0014,none,False,minoians,米诺斯人,Minoans,0.2211,labyrinthians,0.3365,0.294,0.5319,high,False
c1,013,013,D:\download\ato2\ATO\map\images\c1-tile-013-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.6105,minoians,0.6669,0.8475,0.0036,none,False,minoians,米诺斯人,Minoans,0.2354,labyrinthians,0.336,0.2892,0.5373,high,False
c1,014,014,D:\download\ato2\ATO\map\images\c1-tile-014-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.5826,minoians,0.6427,0.8288,0.0248,none,False,minoians,米诺斯人,Minoans,0.274,labyrinthians,0.3524,0.3014,0.5338,high,False
c1,015,015,D:\download\ato2\ATO\map\images\c1-tile-015-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.588,labyrinthians,0.6473,0.7706,0.0454,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3235,hornsworn,0.3412,0.3041,0.5558,low,False
c1,051,051,D:\download\ato2\ATO\map\images\c1-tile-051-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.615,minoians,0.6832,0.9628,0.0302,none,False,minoians,米诺斯人,Minoans,0.4797,labyrinthians,0.4979,0.3973,0.515,low,False
c1,052,052,D:\download\ato2\ATO\map\images\c1-tile-052-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6363,minoians,0.7001,0.8418,0.0097,none,False,minoians,米诺斯人,Minoans,0.3826,labyrinthians,0.4286,0.3479,0.5324,low,False
c1,053,053,D:\download\ato2\ATO\map\images\c1-tile-053-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.5759,minoians,0.6473,0.8263,0.0178,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4005,minoians,0.4381,0.3561,0.5535,low,False
c1,054,054,D:\download\ato2\ATO\map\images\c1-tile-054-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6303,minoians,0.6902,0.9102,0.0081,none,False,minoians,米诺斯人,Minoans,0.3453,labyrinthians,0.4072,0.33,0.5429,medium,False
c1,055,055,D:\download\ato2\ATO\map\images\c1-tile-055-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.628,minoians,0.6918,0.9297,0.0173,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4252,minoians,0.4369,0.3955,0.4845,low,False
c1,016,016,D:\download\ato2\ATO\map\images\c1-tile-016-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.5999,hornsworn,0.6076,0.746,0.006,none,False,minoians,米诺斯人,Minoans,0.3447,labyrinthians,0.389,0.3226,0.5544,medium,False
c1,017,017,D:\download\ato2\ATO\map\images\c1-tile-017-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.563,minoians,0.5739,0.7779,0.0084,none,False,minoians,米诺斯人,Minoans,0.3011,labyrinthians,0.3679,0.3072,0.5496,medium,False
c1,018,018,D:\download\ato2\ATO\map\images\c1-tile-018-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.5315,hornsworn,0.5452,0.7449,0.0121,none,False,minoians,米诺斯人,Minoans,0.2553,labyrinthians,0.339,0.2908,0.5453,high,False
